Title,Type,Priority,Estimate,References,Preconditions,Steps (Step),Steps (Expected Result),Steps (Step),Steps (Expected Result),Steps (Step),Steps (Expected Result),Steps (Step),Steps (Expected Result),Steps (Step),Steps (Expected Result)
"Abrir modal de Atestado",Functional,High,,"AT_001","Usuário logado no sistema, Encontro médico ativo","Clicar no botão 'Atestar' na seção de documentos","Modal 'Atestado' abre com header padronizado","Verificar estrutura do header","Header contém: título 'Atestado', badge 'Novo', botões 'Redefinir' e 'X'","Verificar accordion workflow","Dois steps visíveis: '1. Configuração do Atestado' e '2. Visualização e Assinatura'",,
"Configurar categoria do atestado",Functional,High,,"AT_002","Modal de Atestado aberto, Step 1 expandido","Clicar no dropdown 'Categoria'","Opções de categoria são exibidas (Repouso, Exercícios Físicos, Viagem, Outro)","Selecionar 'Repouso'","Categoria é selecionada e dropdown 'Modelo' é habilitado","Verificar se dropdown 'Situação' está disponível","Dropdown 'Situação' com opções de status disponível",,
"Preencher conteúdo do atestado",Functional,High,,"AT_003","Categoria selecionada, Área de texto visível","Clicar na área de texto 'Texto contido no Atestado'","Cursor aparece na área de texto","Digitar conteúdo do atestado","Texto é inserido normalmente com formatação","Verificar contador de caracteres (se existir)","Contador atualiza conforme digitação",,
"Usar opções de geração com IA",Functional,Medium,,"AT_004","Categoria selecionada, Botão 'Gerar com IA' visível","Clicar no botão 'Gerar com IA'","Processo de geração automática é iniciado","Aguardar geração do conteúdo","Texto é gerado automaticamente na área de conteúdo","Verificar qualidade do texto gerado","Texto coerente e adequado à categoria selecionada",,
"Configurar opções de inclusão de dados",Functional,Medium,,"AT_005","Step 1 do accordion expandido","Ativar switch 'Incluir Dados do Paciente'","Switch é ativado e opção é habilitada","Ativar switch 'Incluir Dados deste Encontro'","Switch é ativado e dados do encontro serão incluídos","Ativar switch 'Incluir Dados do Prontuário (Histórico)'","Switch é ativado e histórico será incluído",,
"Salvar atestado",Functional,High,,"AT_006","Categoria selecionada, Conteúdo preenchido","Clicar no botão 'Salvar'","Dados são salvos e mensagem de sucesso é exibida","Verificar se badge do header muda para ID gerado","Badge mostra ID do atestado (ex: 'ATE-12345')","Verificar status na área de mensagens","Status indica 'salvo' com ícone de confirmação",,
"Gerar PDF do atestado",Functional,High,,"AT_007","Atestado salvo com conteúdo","Clicar no botão 'Gerar PDF'","PDF é gerado e Step 2 do accordion expande automaticamente","Verificar prévia do PDF","PDF é exibido na área de visualização com conteúdo correto","Verificar se painel de assinatura aparece","Opções de assinatura digital são disponibilizadas",,
"Assinar atestado digitalmente",Functional,High,,"AT_008","PDF gerado, Painel de assinatura visível, Certificado digital configurado","Clicar em 'Assinar com Certificado Digital'","Processo de assinatura é iniciado","Selecionar certificado e confirmar assinatura","Documento é assinado com sucesso","Verificar se link do atestado assinado aparece","Link 'Atestado Assinado' disponível para download",,
"Concluir atestado",Functional,High,,"AT_009","PDF gerado, Atestado pode estar assinado ou não","Clicar no botão 'Concluir'","Status do atestado muda para 'completed'","Verificar se atestado aparece no histórico","Atestado listado na aba 'Registros Clínicos'","Verificar se modal fecha automaticamente","Modal é fechado após conclusão",,
"Salvar modelo de atestado",Functional,Medium,,"AT_010","Categoria selecionada, Conteúdo preenchido","Clicar no botão 'Modelo'","Modal de salvar modelo abre","Digitar nome do modelo","Campo aceita entrada de texto","Clicar em 'Salvar Modelo'","Modelo é salvo e fica disponível no dropdown",,
