Title,Type,Priority,Estimate,References,Preconditions,Steps (Step),Steps (Expected Result),Steps (Step),Steps (Expected Result),Steps (Step),Steps (Expected Result),Steps (Step),Steps (Expected Result),Steps (Step),Steps (Expected Result)
"Abrir modal de Encaminhamento",Functional,High,,"RF_001","Usuário logado no sistema, Encontro médico ativo","Clicar no botão 'Encaminhar' na seção de documentos","Modal 'Encaminhamento' abre com header padronizado","Verificar estrutura do header","Header contém: título 'Encaminhamento', badge 'Novo', botões 'Redefinir' e 'X'","Verificar accordion workflow","Dois steps visíveis: '1. Configuração do Encaminhamento' e '2. Prévia e Assinatura Digital'",,
"Selecionar categoria do encaminhamento",Functional,High,,"RF_002","Modal de Encaminhamento aberto, Step 1 expandido","Clicar no dropdown 'Categoria'","Opções são exibidas: Consulta, Exame, Terapia, Cirurgia, Outros","Selecionar 'Consulta'","Categoria é selecionada e dropdown 'Especialidade' é habilitado","Verificar carregamento de especialidades","Lista de especialidades relacionadas à categoria é carregada",,
"Selecionar especialidade médica",Functional,High,,"RF_003","Categoria selecionada, Dropdown 'Especialidade' habilitado","Clicar no dropdown 'Especialidade'","Lista de especialidades médicas é exibida","Selecionar uma especialidade (ex: Cardiologia)","Especialidade é selecionada e modelos relacionados carregam","Verificar se dropdown 'Modelo' é habilitado","Dropdown 'Modelo' fica disponível com modelos da especialidade",,
"Preencher conteúdo do encaminhamento",Functional,High,,"RF_004","Categoria e especialidade selecionadas","Clicar na área de texto 'Descrição do Encaminhamento'","Cursor aparece na área de texto com placeholder informativo","Digitar motivos do encaminhamento","Texto é inserido com formatação adequada","Verificar dicas de preenchimento","Orientações sobre informações importantes são exibidas",,
"Usar texto automático por especialidade",Functional,Medium,,"RF_005","Categoria e especialidade selecionadas","Selecionar especialidade 'Psicologia'","Texto padrão para psicologia é inserido automaticamente","Selecionar especialidade 'Fisioterapia'","Texto padrão para fisioterapia é inserido automaticamente","Verificar se texto pode ser editado","Texto automático pode ser personalizado pelo usuário",,
"Salvar encaminhamento",Functional,High,,"RF_006","Categoria, especialidade e conteúdo preenchidos","Clicar no botão 'Salvar'","Dados são salvos e mensagem de sucesso é exibida","Verificar se badge do header muda para ID gerado","Badge mostra ID do encaminhamento (ex: 'ENC-12345')","Verificar mudança de contexto operacional","Sistema reconhece encaminhamento como salvo",,
"Gerar PDF do encaminhamento",Functional,High,,"RF_007","Encaminhamento salvo com todos os dados","Clicar no botão 'Gerar PDF'","PDF é gerado e Step 2 do accordion expande automaticamente","Verificar prévia do documento","PDF exibido contém cabeçalho médico, dados do paciente e conteúdo","Verificar disponibilidade de assinatura","Painel de assinatura digital fica disponível",,
"Assinar encaminhamento digitalmente",Functional,High,,"RF_008","PDF gerado, Certificado digital configurado","Clicar em 'Assinar com Certificado Digital'","Interface de assinatura digital é aberta","Selecionar certificado e confirmar assinatura","Documento é assinado com sucesso","Verificar link do documento assinado","Link 'Encaminhamento Assinado' aparece na seção de documentos",,
"Concluir encaminhamento",Functional,High,,"RF_009","PDF gerado, Encaminhamento pode estar assinado ou não","Clicar no botão 'Concluir'","Status muda para 'completed' e processo é finalizado","Verificar registro no histórico","Encaminhamento aparece na aba 'Registros Clínicos'","Verificar fechamento automático","Modal fecha após conclusão bem-sucedida",,
"Salvar modelo de encaminhamento",Functional,Medium,,"RF_010","Formulário preenchido com categoria e conteúdo","Clicar no botão 'Salvar como Modelo'","Modal de salvar modelo abre","Inserir nome descritivo para o modelo","Campo aceita nome do modelo","Confirmar salvamento do modelo","Modelo é salvo e fica disponível na lista",,
"Carregar modelo salvo",Functional,Medium,,"RF_011","Modelo previamente salvo, Categoria correspondente selecionada","Selecionar modelo no dropdown 'Selecionar Modelo'","Dados do modelo são carregados no formulário","Verificar preenchimento automático","Conteúdo do modelo aparece na área de texto","Verificar se dados podem ser editados","Conteúdo carregado pode ser personalizado",,
"Redefinir formulário de encaminhamento",Functional,Medium,,"RF_012","Formulário parcialmente preenchido","Clicar no botão 'Redefinir'","Confirmação sobre alterações não salvas é exibida","Confirmar redefinição","Formulário retorna ao estado inicial","Verificar limpeza completa","Todos os campos voltam aos valores padrão",,
"Validar campos obrigatórios",Validation,High,,"RF_013","Modal de Encaminhamento aberto","Tentar salvar sem selecionar categoria","Validação impede salvamento e orienta preenchimento","Tentar salvar sem especialidade","Validação solicita seleção de especialidade","Tentar gerar PDF sem conteúdo","Botão permanece desabilitado até preenchimento adequado",,
"Testar diferentes categorias de encaminhamento",Functional,Medium,,"RF_014","Modal de Encaminhamento aberto","Selecionar categoria 'Exame'","Especialidades relacionadas a exames são carregadas","Selecionar categoria 'Cirurgia'","Texto padrão para cirurgia é sugerido","Selecionar categoria 'Outros'","Texto genérico para especialista é inserido",,
"Verificar carregamento de especialidades por categoria",Functional,High,,"RF_015","Modal de Encaminhamento aberto","Selecionar categoria 'Consulta'","API é chamada e especialidades médicas são carregadas","Verificar tratamento de erro na API","Mensagem de erro apropriada em caso de falha","Trocar de categoria e verificar atualização","Lista de especialidades é atualizada conforme categoria",,
"Testar fluxo completo de encaminhamento",End-to-End,Critical,,"RF_016","Sistema configurado com certificado digital, Paciente e encontro ativos","Abrir modal e preencher todos os campos obrigatórios","Formulário aceita todos os dados corretamente","Salvar, gerar PDF e assinar documento","Fluxo completo executado sem erros","Concluir e verificar registro no sistema","Encaminhamento registrado e disponível no histórico",,
"Testar navegação entre steps do accordion",UI,Medium,,"RF_017","Modal de Encaminhamento aberto","Tentar acessar Step 2 sem dados salvos","Step 2 permanece desabilitado ou solicita salvamento","Salvar dados e acessar Step 2","Step 2 fica acessível após salvamento","Navegar entre steps verificando preservação de dados","Dados são mantidos ao alternar entre steps",,
"Testar edição de encaminhamento existente",Functional,High,,"RF_018","Encaminhamento salvo não concluído, Acesso via histórico de registros","Abrir encaminhamento existente para edição","Modal abre com dados preenchidos do encaminhamento","Modificar categoria e especialidade","Alterações são aceitas e especialidades atualizadas","Salvar modificações","Alterações são persistidas no sistema",,
"Verificar anexo de encaminhamento assinado",Functional,High,,"RF_019","Encaminhamento assinado digitalmente","Verificar se anexo é salvo no sistema","Arquivo PDF assinado é armazenado corretamente","Acessar link do documento assinado","PDF abre em nova aba com assinatura válida","Verificar metadados do anexo","Anexo contém informações corretas do encaminhamento",,
"Testar fechamento com alterações não salvas",Functional,Medium,,"RF_020","Formulário preenchido mas não salvo","Tentar fechar modal com botão 'X'","Confirmação sobre perda de dados é exibida","Cancelar fechamento","Modal permanece aberto com dados preservados","Confirmar fechamento","Modal fecha e alterações são descartadas",,
